timestamp,open,high,low,close,volume,instrument,timeframe
2026-03-10 00:00:00,47535.69,47563.75,47507.21,47548.74,0,DOW,5m
2026-03-10 00:05:00,47548.15,47556.65,47511.95,47536.18,0,DOW,5m
2026-03-10 00:10:00,47535.69,47535.75,47488.72,47502.25,0,DOW,5m
2026-03-10 00:15:00,47501.18,47562.74,47501.18,47562.74,0,DOW,5m
2026-03-10 00:20:00,47561.22,47592.19,47538.19,47588.45,0,DOW,5m
2026-03-10 00:25:00,47589.45,47617.71,47578.25,47617.24,0,DOW,5m
2026-03-10 00:30:00,47615.72,47625.45,47574.74,47586.72,0,DOW,5m
2026-03-10 00:35:00,47588.25,47649.71,47578.68,47642.22,0,DOW,5m
2026-03-10 00:40:00,47642.74,47676.7,47628.66,47663.16,0,DOW,5m
2026-03-10 00:45:00,47662.15,47671.45,47631.15,47641.7,0,DOW,5m
2026-03-10 00:50:00,47643.18,47651.7,47615.8,47619.22,0,DOW,5m
2026-03-10 00:55:00,47620.69,47626.19,47608.19,47613.22,0,DOW,5m
2026-03-10 01:00:00,47612.66,47641.71,47598.24,47601.22,0,DOW,5m
2026-03-10 01:05:00,47602.2,47663.19,47596.15,47659.25,0,DOW,5m
2026-03-10 01:10:00,47660.65,47675.16,47646.66,47657.21,0,DOW,5m
2026-03-10 01:15:00,47656.19,47670.25,47629.21,47631.22,0,DOW,5m
2026-03-10 01:20:00,47632.15,47641.22,47621.19,47628.72,0,DOW,5m
2026-03-10 01:25:00,47628.45,47647.68,47610.66,47614.18,0,DOW,5m
2026-03-10 01:30:00,47615.25,47630.69,47600.68,47607.16,0,DOW,5m
2026-03-10 01:35:00,47606.65,47631.69,47596.65,47608.24,0,DOW,5m
2026-03-10 01:40:00,47607.45,47618.71,47597.66,47614.25,0,DOW,5m
2026-03-10 01:45:00,47613.65,47652.45,47607.45,47645.2,0,DOW,5m
2026-03-10 01:50:00,47644.72,47677.22,47644.18,47674.19,0,DOW,5m
2026-03-10 01:55:00,47672.7,47693.7,47666.66,47673.24,0,DOW,5m
2026-03-10 02:00:00,47673.19,47680.95,47663.19,47669.18,0,DOW,5m
2026-03-10 02:05:00,47670.16,47677.22,47656.19,47664.2,0,DOW,5m
2026-03-10 02:10:00,47665.45,47677.45,47657.21,47671.71,0,DOW,5m
2026-03-10 02:15:00,47672.24,47674.45,47659.68,47664.68,0,DOW,5m
2026-03-10 02:20:00,47664.19,47668.95,47656.15,47657.95,0,DOW,5m
2026-03-10 02:25:00,47658.15,47661.75,47648.2,47659.16,0,DOW,5m
2026-03-10 02:30:00,47660.2,47661.16,47617.45,47626.24,0,DOW,5m
2026-03-10 02:35:00,47625.95,47634.22,47615.19,47630.7,0,DOW,5m
2026-03-10 02:40:00,47631.95,47639.69,47610.15,47616.65,0,DOW,5m
2026-03-10 02:45:00,47616.21,47620.15,47575.65,47577.71,0,DOW,5m
2026-03-10 02:50:00,47577.15,47579.16,47560.69,47566.71,0,DOW,5m
2026-03-10 02:55:00,47567.25,47575.74,47547.7,47553.21,0,DOW,5m
2026-03-10 03:00:00,47554.7,47585.2,47548.65,47564.72,0,DOW,5m
2026-03-10 03:05:00,47565.16,47582.19,47559.74,47572.15,0,DOW,5m
2026-03-10 03:10:00,47571.68,47601.25,47571.68,47583.65,0,DOW,5m
2026-03-10 03:15:00,47584.18,47600.15,47577.95,47594.25,0,DOW,5m
2026-03-10 03:20:00,47593.66,47627.16,47587.16,47593.2,0,DOW,5m
2026-03-10 03:25:00,47593.74,47595.68,47555.18,47564.75,0,DOW,5m
2026-03-10 03:30:00,47564.18,47568.75,47547.7,47547.7,0,DOW,5m
2026-03-10 03:35:00,47548.24,47552.95,47531.25,47543.24,0,DOW,5m
2026-03-10 03:40:00,47542.18,47552.25,47499.69,47499.69,0,DOW,5m
2026-03-10 03:45:00,47500.15,47500.65,47461.7,47481.95,0,DOW,5m
2026-03-10 03:50:00,47481.24,47530.18,47473.24,47525.69,0,DOW,5m
